Day,Campaign,Device,Clicks,Impressions,Cost,Conversions
20-May-18,Search_India_Brand_Product_BMM_Mobile,Mobile,314,"2,201","₹3,403.38",25
8-May-18,Search_Top_Performing_Brand_BMM_Desktop,Desktop,26,377,"₹1,282.38",0
14-May-18,Search_India_Generic_BMM_Mobile,Tablet,2,27,₹76.18,0
14-May-18,Search_Bengaluru_Brand_Exact_Mobile,Tablet,0,7,₹0.00,0
8-May-18,RLSA_India_Generic_BMM_Desktop,Desktop,1,18,₹43.05,0
21-May-18,Search_India_Brand_BMM_Mobile,Tablet,3,83,₹70.40,0
16-May-18,RLSA_India_Generic_BMM_Mobile,Mobile,62,579,"₹3,313.26",9
11-May-18,Search_India_Generic_Exact_Desktop,Desktop,26,373,"₹1,072.64",4
18-May-18,Search_India_Brand_Product_Exact_Desktop,Desktop,40,383,₹361.77,8
15-May-18,Search_India_Generic_Exact_Mobile_Lumpsum,Tablet,0,30,₹0.00,0
16-May-18,Search_Top_Performing_Brand_Exact_Mobile,Mobile,205,969,"₹2,029.14",35
15-May-18,Search_Top_Performing_Brand_Exact_Mobile,Tablet,1,17,₹20.46,0
8-May-18,Search_India_Brand_Exact_Desktop,Desktop,115,885,"₹2,380.95",10
15-May-18,Search_India_Generic_BMM_Desktop,Desktop,41,739,"₹1,607.43",7
21-May-18,Search_Bengaluru_Brand_Exact_Mobile,Mobile,57,204,"₹1,488.03",3
16-May-18,Search_India_Brand_BMM_Mobile,Mobile,826,"6,929","₹11,219.13",111
17-May-18,Search_India_Generic_BMM_Desktop,Desktop,124,"2,618","₹5,114.61",7
19-May-18,Search_Top_Performing_Brand_Exact_Desktop,Desktop,93,615,"₹1,964.05",11
14-May-18,Search_Mumbai_Brand_Exact_Desktop,Desktop,83,679,"₹2,695.70",5
12-May-18,Search_Top_Performing_Brand_BMM_Mobile,Mobile,57,822,"₹1,931.45",5
18-May-18,Search_Bengaluru_Brand_Exact_Mobile,Mobile,63,285,"₹1,185.38",13
9-May-18,Search_India_Brand_BMM_Mobile,Mobile,339,"3,154","₹5,191.20",23
22-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Mobile,80,"3,358",₹803.13,12
15-May-18,Display_India_KCT_Generic,Tablet,2,585,₹11.21,0
8-May-18,Search_India_Brand_Exact_Mobile,Mobile,158,"1,019",₹922.54,11
22-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Tablet,2,191,₹18.88,0
19-May-18,Display_India_KCT_Generic,Desktop,48,"19,507",₹649.70,1
21-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Tablet,1,63,₹5.55,0
8-May-18,Search_Bengaluru_Brand_BMM_Mobile,Mobile,16,161,₹477.57,1
10-May-18,Search_India_Generic_Exact_Mobile_Lumpsum,Mobile,2,20,₹49.90,0
21-May-18,Search_India_Brand_Product_Exact_Mobile,Mobile,122,"1,002",₹695.09,8
11-May-18,Search_Mumbai_Brand_Exact_Desktop,Desktop,60,595,"₹2,044.90",15
18-May-18,Search_India_Generic_BMM_Mobile,Mobile,456,"5,570","₹10,111.68",39
9-May-18,Search_India_Generic_Tax_Saving_Exact_Mobile,Mobile,5,152,₹168.12,1
21-May-18,Search_India_Brand_Product_Exact_Desktop,Desktop,46,334,₹428.17,1
15-May-18,Search_Top_Performing_Brand_Exact_Mobile,Mobile,147,636,"₹2,129.21",17
9-May-18,Search_Bengaluru_Brand_Exact_Mobile,Tablet,0,5,₹0.00,0
12-May-18,Display_India_KCT_Generic,Desktop,2,"1,524",₹28.78,0
9-May-18,RLSA_India_Generic_BMM_Mobile,Mobile,26,637,"₹1,357.29",1
11-May-18,Display_India_KCT_Large_Cap_Fund,Mobile,39,"31,909",₹406.68,3
15-May-18,RLSA_India_Generic_BMM_Mobile,Tablet,0,4,₹0.00,0
18-May-18,Search_India_Generic_Exact_Desktop_Lumpsum,Desktop,6,722,₹59.35,0
11-May-18,Search_Mumbai_Brand_Exact_Mobile,Mobile,41,200,"₹1,656.44",3
12-May-18,Search_India_Generic_BMM_Desktop_Lumpsum,Desktop,0,20,₹0.00,0
19-May-18,Search_Bengaluru_Brand_Exact_Mobile,Mobile,32,137,₹566.97,4
20-May-18,Search_India_Brand_Product_Exact_Mobile,Mobile,92,710,₹555.89,7
19-May-18,Search_Bengaluru_Brand_Exact_Mobile,Tablet,0,10,₹0.00,0
22-May-18,Display_India_KCT_Large_Cap_Fund,Mobile,612,"83,716","₹5,188.46",9
11-May-18,Search_Top_Performing_Brand_Exact_Mobile,Tablet,1,8,₹24.50,0
22-May-18,Search_India_Generic_BMM_Mobile,Mobile,"1,072","13,475","₹30,954.10",90
10-May-18,Display_India_KCT_Large_Cap_Fund,Tablet,3,461,₹31.81,0
12-May-18,Search_India_Brand_BMM_Mobile,Mobile,232,"2,314","₹3,560.66",32
10-May-18,Search_Bengaluru_Brand_Exact_Mobile,Mobile,31,134,₹999.67,4
8-May-18,Search_Mumbai_Brand_BMM_Desktop,Desktop,12,188,₹382.57,0
16-May-18,Search_India_Generic_Exact_Mobile,Mobile,90,"1,339","₹2,018.83",12
18-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Tablet,0,104,₹0.00,0
16-May-18,Search_India_Generic_BMM_Desktop_Lumpsum,Desktop,8,734,₹167.63,3
18-May-18,Search_India_Brand_Exact_Mobile,Mobile,688,"3,693","₹4,374.13",117
8-May-18,RLSA_India_Brand_BMM_Desktop,Desktop,4,14,₹358.90,3
17-May-18,Search_India_Brand_Exact_Desktop,Desktop,528,"4,268","₹10,501.90",47
21-May-18,Search_India_Brand_Product_Exact_Mobile,Tablet,3,12,₹35.84,0
15-May-18,Search_India_Brand_Product_BMM_Mobile,Tablet,1,6,₹9.78,1
9-May-18,Search_Top_Performing_Brand_BMM_Mobile,Tablet,1,6,₹40.98,0
19-May-18,Search_India_Generic_Exact_Mobile_Lumpsum,Mobile,18,361,₹211.32,3
15-May-18,Search_India_Brand_Product_Exact_Desktop,Desktop,16,83,₹74.70,3
16-May-18,Search_India_Generic_Exact_Mobile_Lumpsum,Mobile,28,"1,415",₹212.99,0
21-May-18,Search_India_Generic_Exact_Mobile,Tablet,0,21,₹0.00,0
16-May-18,Search_India_Brand_BMM_Desktop,Desktop,380,"2,300","₹6,530.41",55
19-May-18,Search_India_Generic_Exact_Mobile,Tablet,1,23,₹33.11,0
10-May-18,Search_Top_Performing_Brand_BMM_Desktop,Desktop,44,592,"₹3,097.46",0
8-May-18,Search_Top_Performing_Brand_BMM_Mobile,Tablet,1,9,₹114.10,0
16-May-18,Search_India_Generic_BMM_Desktop,Desktop,37,534,"₹1,565.34",6
9-May-18,Search_Top_Performing_Brand_Exact_Desktop,Desktop,109,782,"₹3,306.22",8
22-May-18,Search_India_Generic_Exact_Mobile,Tablet,6,68,₹230.14,0
11-May-18,Search_India_Brand_Exact_Desktop,Desktop,264,"2,082","₹5,170.17",23
21-May-18,Search_Mumbai_Brand_Exact_Desktop,Desktop,128,979,"₹2,754.05",15
19-May-18,Display_India_KCT_Large_Cap_Fund,Tablet,3,"1,107",₹31.25,0
16-May-18,Search_India_Brand_Product_Exact_Desktop,Desktop,57,520,₹351.67,8
16-May-18,Search_India_Generic_Exact_Desktop,Desktop,30,538,"₹1,036.99",4
19-May-18,Display_India_KCT_Generic,Tablet,3,865,₹31.23,0
22-May-18,RLSA_India_Generic_BMM_Mobile,Tablet,0,3,₹0.00,0
18-May-18,Display_India_KCT_Generic,Desktop,170,"73,657","₹2,094.62",14
19-May-18,Search_Top_Performing_Brand_Exact_Mobile,Tablet,1,8,₹36.45,0
11-May-18,Display_India_KCT_Large_Cap_Fund,Tablet,1,954,₹15.10,0
15-May-18,Search_India_Brand_BMM_Desktop,Desktop,305,"1,938","₹6,601.89",46
22-May-18,Search_India_Brand_Exact_Mobile,Tablet,1,36,₹9.74,0
14-May-18,Display_India_KCT_Large_Cap_Fund,Tablet,0,47,₹0.00,0
8-May-18,Search_India_Generic_BMM_Desktop,Desktop,96,"2,261","₹4,402.31",5
11-May-18,Search_India_Generic_BMM_Desktop,Desktop,38,661,"₹1,530.63",2
21-May-18,Search_India_Generic_Exact_Desktop,Desktop,83,"1,359","₹3,484.38",2
21-May-18,Search_Top_Performing_Brand_BMM_Mobile,Mobile,146,"1,840","₹5,121.65",9
21-May-18,RLSA_India_Brand_BMM_Mobile,Mobile,94,467,"₹1,518.95",11
22-May-18,Search_India_Brand_BMM_Desktop,Desktop,495,"4,031","₹19,926.81",54
18-May-18,Search_India_Generic_BMM_Desktop,Desktop,118,"2,641","₹5,045.41",10
22-May-18,Search_India_Brand_Exact_Desktop,Desktop,505,"3,649","₹10,595.23",68
20-May-18,Search_India_Brand_Product_BMM_Desktop,Desktop,61,426,₹798.85,13
14-May-18,Search_India_Generic_Exact_Mobile,Tablet,2,15,₹25.66,0
9-May-18,Search_India_Generic_Tax_Saving_BMM_Mobile,Tablet,1,28,₹37.33,0
16-May-18,Search_Mumbai_Brand_Exact_Desktop,Desktop,124,"1,047","₹3,129.69",13
19-May-18,Search_India_Generic_Exact_Mobile_Lumpsum,Tablet,0,14,₹0.00,0
11-May-18,Search_India_Generic_BMM_Mobile,Tablet,0,6,₹0.00,0
17-May-18,Search_Bengaluru_Brand_Exact_Desktop,Desktop,82,622,"₹1,636.48",17
16-May-18,Search_Top_Performing_Brand_BMM_Mobile,Mobile,119,"1,083","₹2,047.33",15
17-May-18,Search_India_Brand_Exact_Mobile,Tablet,4,29,₹24.89,2
10-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Desktop,1,24,₹24.58,0
15-May-18,Search_India_Generic_Exact_Desktop_Lumpsum,Mobile,1,15,₹14.65,0
22-May-18,Search_India_Brand_Product_BMM_Mobile,Mobile,475,"3,827","₹4,240.90",22
17-May-18,Search_Mumbai_Brand_Exact_Desktop,Desktop,84,639,"₹2,097.17",10
19-May-18,Display_India_KCT_Large_Cap_Fund,Mobile,176,"63,387","₹1,694.15",9
9-May-18,Search_India_Generic_Tax_Saving_Exact_Mobile,Tablet,0,3,₹0.00,0
9-May-18,RLSA_India_Generic_BMM_Mobile,Tablet,0,12,₹0.00,0
8-May-18,Search_India_Generic_Tax_Saving_Exact_Desktop,Desktop,4,138,₹245.26,0
16-May-18,Display_India_KCT_Generic,Tablet,2,869,₹21.36,0
11-May-18,Search_India_Generic_Exact_Desktop_Lumpsum,Tablet,0,1,₹0.00,0
19-May-18,Display_India_KCT_Large_Cap_Fund,Desktop,35,"29,914",₹436.11,0
9-May-18,Search_Bengaluru_Brand_BMM_Mobile,Mobile,32,328,"₹1,640.92",1
17-May-18,Display_India_KCT_Large_Cap_Fund,Tablet,4,"2,275",₹36.43,0
10-May-18,Search_India_Generic_Exact_Mobile,Tablet,2,29,₹70.90,0
11-May-18,Search_Bengaluru_Brand_Exact_Mobile,Tablet,0,3,₹0.00,0
12-May-18,Search_Top_Performing_Brand_BMM_Mobile,Tablet,1,17,₹86.02,0
14-May-18,Search_Bengaluru_Brand_Exact_Desktop,Desktop,68,524,"₹1,863.40",12
15-May-18,Search_India_Generic_Exact_Desktop,Desktop,30,415,"₹1,051.45",4
12-May-18,Search_Top_Performing_Brand_Exact_Mobile,Mobile,55,323,"₹1,492.82",2
8-May-18,Search_Mumbai_Brand_BMM_Mobile,Mobile,7,199,₹278.35,0
14-May-18,Search_India_Generic_Exact_Mobile_Lumpsum,Desktop,0,4,₹0.00,0
17-May-18,Search_India_Brand_Product_BMM_Desktop,Desktop,90,903,"₹1,047.72",16
15-May-18,Search_Bengaluru_Brand_Exact_Mobile,Mobile,25,122,₹690.99,2
8-May-18,Search_India_Brand_Exact_Mobile,Tablet,1,7,₹6.21,0
19-May-18,Search_India_Brand_Exact_Mobile,Mobile,354,"2,062","₹2,770.33",44
22-May-18,Search_India_Competition_BMM_Desktop,Desktop,26,"1,453","₹2,084.91",0
15-May-18,Search_India_Brand_Product_Exact_Mobile,Mobile,99,645,₹515.78,2
10-May-18,Search_India_Generic_BMM_Desktop_Lumpsum,Mobile,8,89,₹142.56,0
22-May-18,Display_India_KCT_Generic,Desktop,203,"163,318","₹2,397.43",8
14-May-18,Search_Top_Performing_Brand_Exact_Mobile,Mobile,99,429,"₹2,428.42",10
22-May-18,Search_India_Generic_BMM_Desktop_Lumpsum,Desktop,23,996,₹204.38,0
10-May-18,Search_India_Generic_Tax_Saving_Exact_Mobile,Mobile,5,168,₹199.90,0
10-May-18,RLSA_India_Brand_BMM_Desktop,Desktop,0,1,₹0.00,0
17-May-18,Search_India_Brand_BMM_Mobile,Mobile,739,"6,917","₹11,407.04",75
10-May-18,Search_India_Brand_BMM_Mobile,Tablet,2,30,₹67.18,0
18-May-18,Search_Top_Performing_Brand_Exact_Mobile,Mobile,240,"1,096","₹4,299.63",22
9-May-18,Search_India_Brand_BMM_Desktop,Desktop,84,479,"₹1,078.96",5
14-May-18,Display_India_KCT_Generic,Tablet,1,269,₹8.74,0
17-May-18,Search_India_Generic_Exact_Desktop_Lumpsum,Desktop,6,620,₹116.33,1
8-May-18,Search_India_Generic_Exact_Desktop,Desktop,92,"1,621","₹4,405.20",7
17-May-18,Display_India_KCT_Generic,Desktop,132,"52,235","₹1,613.63",3
11-May-18,Search_Bengaluru_Brand_Exact_Mobile,Mobile,31,121,₹986.78,3
11-May-18,Display_India_KCT_Generic,Desktop,3,"2,287",₹28.14,0
14-May-18,Search_Top_Performing_Brand_BMM_Mobile,Tablet,0,15,₹0.00,0
22-May-18,RLSA_India_Brand_BMM_Desktop,Desktop,97,524,"₹5,045.49",6
10-May-18,Search_India_Generic_Exact_Desktop_Lumpsum,Mobile,0,23,₹0.00,0
12-May-18,Search_India_Generic_BMM_Desktop_Lumpsum,Mobile,5,81,₹102.96,0
22-May-18,Search_India_Generic_BMM_Desktop,Desktop,346,"5,645","₹15,845.18",28
18-May-18,Search_Mumbai_Brand_Exact_Desktop,Desktop,107,715,"₹2,050.46",16
17-May-18,Display_India_KCT_Large_Cap_Fund,Desktop,51,"57,873",₹553.96,1
7-May-18,Search_Top_Performing_Brand_Exact,Mobile,0,5,₹0.00,0
16-May-18,Search_India_Generic_Exact_Desktop_Lumpsum,Desktop,3,789,₹48.63,0
16-May-18,Display_India_KCT_Large_Cap_Fund,Tablet,9,"3,973",₹135.21,0
19-May-18,Search_Top_Performing_Brand_BMM_Mobile,Tablet,0,21,₹0.00,0
19-May-18,Search_India_Brand_Product_Exact_Mobile,Tablet,2,19,₹14.88,0
14-May-18,Search_India_Brand_Exact_Mobile,Tablet,7,43,₹56.62,3
21-May-18,Search_India_Generic_BMM_Desktop_Lumpsum,Desktop,31,"1,442",₹287.14,0
22-May-18,Display_India_KCT_Large_Cap_Fund,Desktop,7,"7,045",₹76.26,0
8-May-18,Search_India_Generic_Tax_Saving_BMM_Mobile,Mobile,15,955,₹774.01,0
17-May-18,Search_Top_Performing_Brand_BMM_Mobile,Tablet,1,65,₹123.60,0
11-May-18,Search_India_Generic_Exact_Desktop_Lumpsum,Desktop,0,12,₹0.00,0
22-May-18,Search_Bengaluru_Brand_Exact_Mobile,Mobile,54,202,"₹1,260.59",6
21-May-18,Search_Bengaluru_Brand_Exact_Desktop,Desktop,89,692,"₹2,582.31",9
16-May-18,Display_India_KCT_Large_Cap_Fund,Desktop,54,"42,697",₹636.47,4
16-May-18,Display_India_KCT_Large_Cap_Fund,Mobile,222,"78,334","₹2,645.67",6
14-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Desktop,2,61,₹53.15,0
18-May-18,Search_Top_Performing_Brand_BMM_Mobile,Tablet,3,25,₹116.09,0
17-May-18,Display_India_KCT_Generic,Tablet,6,884,₹15.64,0
14-May-18,Search_Top_Performing_Brand_Exact_Mobile,Tablet,3,15,₹120.66,2
10-May-18,Display_India_KCT_Generic,Desktop,4,"1,991",₹54.53,0
22-May-18,RLSA_India_Generic_BMM_Desktop,Desktop,83,"1,889","₹3,534.24",6
9-May-18,Search_India_Brand_Exact_Mobile,Mobile,466,"2,784","₹3,032.19",33
15-May-18,Search_Top_Performing_Brand_Exact_Desktop,Desktop,151,"1,250","₹4,161.77",10
17-May-18,Search_India_Generic_Exact_Mobile_Lumpsum,Mobile,49,"3,689",₹422.25,0
18-May-18,RLSA_India_Brand_BMM_Mobile,Tablet,0,3,₹0.00,0
11-May-18,Search_India_Generic_BMM_Desktop_Lumpsum,Mobile,20,212,₹411.11,0
16-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Tablet,0,67,₹0.00,0
12-May-18,Search_India_Generic_BMM_Desktop,Desktop,37,682,"₹1,587.50",12
22-May-18,Search_India_Brand_Product_Exact_Desktop,Desktop,37,313,₹312.56,4
18-May-18,Display_India_KCT_Generic,Mobile,215,"19,888","₹2,605.28",13
17-May-18,Search_India_Brand_BMM_Mobile,Tablet,5,81,₹61.31,0
16-May-18,Search_Top_Performing_Brand_BMM_Mobile,Tablet,1,22,₹22.01,0
11-May-18,Search_India_Brand_BMM_Mobile,Mobile,336,"2,989","₹3,518.41",41
9-May-18,Search_India_Generic_Tax_Saving_BMM_Desktop,Desktop,27,"1,209","₹2,986.23",2
22-May-18,Display_India_KCT_Generic,Mobile,202,"169,482","₹2,153.01",11
14-May-18,Search_India_Brand_BMM_Mobile,Mobile,629,"6,213","₹11,388.44",49
9-May-18,Search_India_Generic_Exact_Mobile,Mobile,39,708,"₹1,088.60",4
8-May-18,RLSA_India_Brand_BMM_Mobile,Mobile,8,74,₹411.15,1
21-May-18,RLSA_India_Generic_BMM_Desktop,Desktop,24,440,"₹1,023.76",4
9-May-18,Search_Mumbai_Brand_Exact_Desktop,Desktop,48,405,"₹1,648.65",3
18-May-18,Search_India_Brand_BMM_Mobile,Tablet,8,76,₹211.53,0
14-May-18,Search_Top_Performing_Brand_BMM_Mobile,Mobile,100,"1,085","₹2,069.71",8
8-May-18,Search_India_Generic_Tax_Saving_Exact_Mobile,Mobile,0,66,₹0.00,0
8-May-18,Search_Top_Performing_Brand_Exact_Desktop,Desktop,46,310,₹887.66,3
14-May-18,Search_India_Generic_BMM_Desktop_Lumpsum,Tablet,0,4,₹0.00,0
10-May-18,Search_Mumbai_Brand_Exact_Desktop,Desktop,77,571,"₹2,029.85",11
7-May-18,Search_India_Brand_Exact_Mobile,Mobile,0,16,₹0.00,0
19-May-18,RLSA_India_Brand_BMM_Desktop,Desktop,48,328,"₹2,037.86",7
14-May-18,Display_India_KCT_Generic,Desktop,7,"3,795",₹72.21,0
14-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Mobile,9,128,₹220.39,0
12-May-18,Search_India_Brand_Exact_Desktop,Desktop,196,"1,439","₹5,016.28",24
18-May-18,Search_India_Generic_Exact_Desktop,Desktop,90,"1,498","₹3,495.53",16
21-May-18,Search_India_Brand_Exact_Mobile,Tablet,2,31,₹9.53,0
11-May-18,Display_India_KCT_Generic,Tablet,3,268,₹27.10,0
19-May-18,RLSA_India_Brand_BMM_Mobile,Mobile,66,489,"₹1,379.04",9
14-May-18,Search_India_Generic_Exact_Desktop_Lumpsum,Desktop,1,11,₹28.22,0
21-May-18,Search_India_Generic_Exact_Mobile_Lumpsum,Mobile,62,"3,079",₹714.30,2
18-May-18,Search_India_Generic_BMM_Desktop_Lumpsum,Desktop,10,"1,222",₹107.21,0
21-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Mobile,79,"3,452",₹763.37,5
8-May-18,Search_Bengaluru_Brand_BMM_Desktop,Desktop,19,173,₹949.00,1
15-May-18,Display_India_KCT_Generic,Mobile,253,"21,468","₹3,296.97",15
15-May-18,RLSA_India_Generic_BMM_Mobile,Mobile,18,187,₹995.87,1
16-May-18,RLSA_India_Generic_BMM_Mobile,Tablet,0,9,₹0.00,0
10-May-18,Search_India_Generic_Tax_Saving_Exact_Mobile,Tablet,0,5,₹0.00,0
17-May-18,Search_India_Generic_BMM_Mobile,Mobile,479,"6,195","₹10,221.24",41
16-May-18,Search_India_Generic_Exact_Mobile_Lumpsum,Tablet,2,45,₹11.57,0
11-May-18,Search_Top_Performing_Brand_Exact_Mobile,Mobile,110,532,"₹1,974.82",19
14-May-18,Search_India_Generic_Exact_Desktop,Desktop,27,369,"₹1,045.58",1
12-May-18,Search_Mumbai_Brand_Exact_Mobile,Tablet,0,5,₹0.00,0
15-May-18,Display_India_KCT_Large_Cap_Fund,Tablet,1,"1,470",₹4.52,0
15-May-18,Search_India_Generic_Exact_Mobile,Mobile,90,"1,337","₹2,097.59",7
21-May-18,Search_Top_Performing_Brand_BMM_Mobile,Tablet,1,44,₹113.58,0
18-May-18,Search_India_Generic_Exact_Mobile,Tablet,2,25,₹56.14,0
9-May-18,Search_India_Generic_Exact_Desktop,Desktop,28,542,"₹1,107.16",2
17-May-18,RLSA_India_Brand_BMM_Mobile,Tablet,0,6,₹0.00,0
16-May-18,Search_India_Brand_Exact_Mobile,Mobile,678,"3,509","₹4,537.52",87
15-May-18,Search_India_Generic_BMM_Desktop_Lumpsum,Mobile,3,73,₹78.45,0
15-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Mobile,14,473,₹240.06,0
9-May-18,Search_Mumbai_Brand_BMM_Mobile,Tablet,1,5,₹27.35,0
8-May-18,Search_Bengaluru_Brand_Exact_Mobile,Mobile,10,73,₹259.62,1
16-May-18,Search_Mumbai_Brand_Exact_Mobile,Tablet,5,17,₹53.11,6
21-May-18,Search_India_Brand_Exact_Desktop,Desktop,527,"3,930","₹9,981.63",84
12-May-18,Search_India_Generic_Exact_Desktop,Desktop,26,356,"₹1,006.36",3
17-May-18,Search_India_Brand_Product_Exact_Mobile,Tablet,4,10,₹29.36,0
16-May-18,Search_India_Brand_BMM_Mobile,Tablet,9,109,₹143.88,2
15-May-18,Search_India_Brand_Exact_Mobile,Mobile,560,"3,098","₹4,579.42",74
18-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Mobile,46,"3,857",₹433.43,2
19-May-18,Search_India_Brand_Product_BMM_Desktop,Desktop,70,647,₹992.61,9
17-May-18,Search_India_Generic_Exact_Mobile,Mobile,275,"3,070","₹6,443.18",23
19-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Mobile,56,"2,635",₹699.18,6
10-May-18,Display_India_KCT_Large_Cap_Fund,Desktop,3,"3,392",₹29.85,0
15-May-18,Search_India_Generic_BMM_Mobile,Tablet,1,34,₹36.27,0
9-May-18,Search_India_Generic_Exact_Mobile,Tablet,0,6,₹0.00,0
11-May-18,Search_Bengaluru_Brand_Exact_Desktop,Desktop,50,482,"₹1,634.05",4
8-May-18,Search_India_Generic_Exact_Mobile,Tablet,2,35,₹41.33,0
12-May-18,Display_India_KCT_Large_Cap_Fund,Tablet,0,41,₹0.00,0
9-May-18,Search_India_Generic_Tax_Saving_BMM_Mobile,Mobile,62,"2,619","₹3,191.14",3
8-May-18,Search_India_Brand_BMM_Mobile,Mobile,262,"2,615","₹5,122.27",14
11-May-18,Display_India_KCT_Large_Cap_Fund,Desktop,5,"9,280",₹37.95,0
14-May-18,Search_India_Brand_Exact_Mobile,Mobile,450,"2,451","₹2,908.89",75
10-May-18,Search_India_Generic_BMM_Desktop_Lumpsum,Tablet,0,1,₹0.00,0
18-May-18,Search_India_Brand_BMM_Desktop,Desktop,346,"2,132","₹6,390.43",37
14-May-18,Display_India_KCT_Generic,Mobile,205,"9,266","₹2,658.35",4
16-May-18,RLSA_India_Brand_BMM_Desktop,Desktop,59,335,"₹1,998.29",16
9-May-18,Search_Top_Performing_Brand_Exact_Mobile,Mobile,106,494,"₹4,680.24",5
14-May-18,Display_India_KCT_Large_Cap_Fund,Mobile,13,"6,100",₹156.26,3
19-May-18,Search_India_Brand_Product_Exact_Mobile,Mobile,112,983,₹607.65,3
21-May-18,Display_India_KCT_Large_Cap_Fund,Mobile,532,"145,805","₹4,653.82",8
17-May-18,Display_India_KCT_Large_Cap_Fund,Mobile,184,"71,431","₹1,965.55",13
8-May-18,Search_Top_Performing_Brand_Exact_Mobile,Tablet,2,5,₹31.84,0
18-May-18,Search_India_Generic_Exact_Mobile,Mobile,258,"2,616","₹6,303.23",13
12-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Desktop,1,25,₹25.76,1
17-May-18,RLSA_India_Brand_BMM_Mobile,Mobile,88,548,"₹1,640.14",5
9-May-18,RLSA_India_Brand_BMM_Desktop,Desktop,8,107,₹384.00,0
15-May-18,Display_India_KCT_Large_Cap_Fund,Mobile,43,"25,451",₹365.18,1
18-May-18,RLSA_India_Generic_BMM_Mobile,Tablet,0,2,₹0.00,0
21-May-18,Search_India_Generic_Exact_Mobile,Mobile,249,"3,099","₹6,477.76",17
10-May-18,Search_Top_Performing_Brand_BMM_Mobile,Tablet,2,19,₹44.33,0
17-May-18,Search_Bengaluru_Brand_Exact_Mobile,Tablet,1,9,₹14.00,0
14-May-18,Search_India_Brand_BMM_Desktop,Desktop,304,"2,041","₹6,558.69",39
11-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Desktop,5,67,₹106.62,0
14-May-18,Search_India_Generic_Exact_Mobile,Mobile,87,"1,133","₹1,999.56",3
18-May-18,Search_Top_Performing_Brand_BMM_Mobile,Mobile,141,"1,578","₹6,330.73",12
18-May-18,Search_Top_Performing_Brand_Exact_Desktop,Desktop,129,"1,029","₹2,060.37",14
9-May-18,Search_Top_Performing_Brand_BMM_Mobile,Mobile,62,570,"₹1,037.22",4
17-May-18,Search_Top_Performing_Brand_Exact_Desktop,Desktop,148,958,"₹2,081.34",19
15-May-18,Search_India_Generic_BMM_Mobile_Lumpsum,Tablet,0,14,₹0.00,0
11-May-18,Search_India_Generic_Tax_Saving_Exact_Mobile,Tablet,0,1,₹0.00,0
